Supplementary Table S4. Essential genes in R. palustris CGA009 and homologs in related organisms.												Best C. crescentus Homolog							Best E. coli Homolog					
Locus	PID	Start	Stop	Length (bp)	Strand	Gene	Product	COGs	Functional Group	Functional Sub-group	Total Cc homologs?	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in Cc NA1000? (Christen et al., 2011)"	Total Ec homologs	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in MG1655? (Baba et al., 2006)"
RPA1069	39934144	1178873	1180207	1335	+	pyrC	dihydroorotase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	2	CCNA_00392	-	dihydroorotase	0E+00	62%	Nonessential	2	b0512	allB	allantoinase	5E-62	32%	Nonessential
RPA1072	39934147	1181286	1181726	441	-	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_03486	-	hypothetical protein	1E-09	21%	Nonessential	0	no E. coli homolog found					
RPA1077	39934152	1185153	1186199	1047	-	-	SUA5/yciO/yrdC domain-containing protein	"[J] Translation, ribosomal structure and biogenesis"	Conserved domain proteins	Conserved domain proteins	1	CCNA_03501	-	SUA5 translation factor-related protein	4E-93	48%	essential	0	no E. coli homolog found					
RPA1093	39934168	1197881	1198990	1110	+	ribB	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	[H] Coenzyme transport and metabolism	Metabolism	Riboflavin biosynthesis	1	CCNA_00931	-	GTP cyclohydrolas	8E-62	38%	Nonessential	1	b3041	ribB	"3,4-dihydroxy-2-butanone-4-phosphate synthase"	2E-62	26%	essential
RPA1100	39934175	1205358	1205975	618	+	ruvA	Holliday junction DNA helicase RuvA	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	1	CCNA_03345	ruvA	Holliday junction DNA helicase RuvA	1E-45	46%	Nonessential	1	b1861	ruvA	component of RuvABC resolvasome	8E-36	37%	Nonessential
RPA1102	39934177	1206575	1207624	1050	+	ruvB	Holliday junction DNA helicase RuvB	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	1	CCNA_03344	ruvB	Holliday junction DNA helicase RuvB	2E-162	65%	Nonessential	1	b1860	ruvB	"ATP-dependent DNA helicase, component of RuvABC"	4E-144	57%	Nonessential
RPA1117	39934192	1219157	1219867	711	+	TolQ	MotA/TolQ/ExbB proton channel	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	2	CCNA_03341	tolQ	TolQ protein	2E-74	48%	essential	2	b0737	tolQ	membrane spanning protein in TolA-TolQ-TolR	8E-53	39%	Nonessential
RPA1118	39934193	1219902	1220372	471	+	TolR	tolR protein	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	3	CCNA_02420	exbD	TonB accessory protein exbD	3E-26	35%	High_Fitness_Costs	2	b3005	exbD	membrane spanning protein in TonB-ExbB-ExbD	3E-25	29%	Nonessential
RPA1119	39934194	1220421	1221404	984	+	TolA	TolA	not in COGs	Secretion	Secretion	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA1120	39934195	1221477	1222811	1335	+	tolB	translocation protein TolB	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	1	CCNA_03338	tolB	TolB protein	2E-174	54%	essential	1	b0740	tolB	periplasmic protein	4E-59	29%	Nonessential
RPA1123	39934198	1226585	1227082	498	+	-	OmpA/MotB	[M] Cell wall/membrane/envelope biogenesis	Outer membrane proteins	Outer membrane proteins	2	CCNA_03337	pal	peptidoglycan-associated lipoprotein pal	5E-44	38%	essential	4	b0741	pal	peptidoglycan-associated outer membrane	1E-34	39%	Nonessential
RPA1125	39934200	1228330	1229370	1041	+	-	tRNA(Ile)-lysidine synthetase-like protein	"[D] Cell cycle control, cell division, chromosome partitioning"	Translation	tRNA charging	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA1126	39934201	1229602	1231518	1917	+	ftsH	ATP-dependent metalloprotease FtsH	"[O] Posttranslational modification, protein turnover, chaperones"	"Cell cycle, cell division & cell envelope"	Cell division	1	CCNA_03334	ftsH	cell division protein FtsH	0E+00	66%	essential	1	b3178	ftsH	"protease, ATP-dependent zinc-metallo"	0E+00	58%	essential
RPA1149	39934224	1256880	1257857	978	-	hisG	ATP phosphoribosyltransferase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_03626	-	ATP phosphoribosyltransferase	3E-80	41%	Nonessential	0	no E. coli homolog found					
RPA1150	39934225	1257854	1259002	1149	-	hisZ	ATP phosphoribosyltransferase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	2	CCNA_03627	-	ATP phosphoribosyltransferase regulator	5E-52	34%	Nonessential	0	no E. coli homolog found					
RPA1152	39934227	1260277	1260810	534	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA1153	39934228	1260807	1261757	951	+	ubiA	4-hydroxybenzoate polyprenyltransferase	[H] Coenzyme transport and metabolism	Metabolism	Ubiquinone biosynthesis	1	CCNA_03534	ubiA	4-hydroxybenzoate polyprenyltransferase	2E-85	44%	essential	1	b4040	ubiA	p-hydroxybenzoate octaprenyltransferase	2E-58	35%	essential
RPA1157	39934232	1264853	1265101	249	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	2	CCNA_00309	-	hypothetical protein	2E-34	54%	essential	1	b1295	ymjA	predicted protein	3E-04	22%	Nonessential
RPA1158	39934233	1265171	1266475	1305	+	kdtA?	3-deoxy-D-manno-octulosonic-acid transferase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_00304	-	3-deoxy-D-manno-octulosonic-acid transferase	2E-85	36%	essential	1	b3633	waaA	3-deoxy-D-manno-octulosonic-acid transferase	1E-87	39%	essential
RPA1159	39934234	1266468	1267490	1023	+	lpxK	tetraacyldisaccharide 4'-kinase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_00303	lpxK	tetraacyldisaccharide-1-P 4'-kinase	8E-63	39%	essential	1	b0915	lpxK	lipid A 4'kinase	5E-40	32%	essential
RPA1164	39934239	1272066	1272512	447	-	tadA?	zinc-binding CMP/dCMP deaminase	"[F] Nucleotide transport and metabolism, [J] Translation, ribosomal structure and biogenesis"	Metabolism	Purine/pyrimidine metabolism	1	CCNA_00231	-	tRNA-specific adenosine deaminase	5E-45	53%	essential	1	b2559	tadA	tRNA-specific adenosine deaminase	9E-39	41%	essential
RPA1170	39934245	1277645	1278271	627	-	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	[I] Lipid transport and metabolism	Metabolism	Phospholipid metabolism	1	CCNA_03002	-	CDP-diacylglycerol--glycerol-3-phosphat	2E-28	34%	essential	1	b1912	pgsA	phosphatidylglycerophosphate synthetase	1E-30	34%	essential
RPA1178	39934253	1284950	1286521	1572	-	hisS	histidyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_03628	-	histidyl-tRNA synthetase	2E-149	48%	essential	0	no E. coli homolog found					
RPA1188	39934263	1299408	1300664	1257	+	-	polynucleotide adenylyltransferase (poly A polymerase)	"[J] Translation, ribosomal structure and biogenesis"	Transcription	Transcription	1	CCNA_00413	-	poly(A) polymerase/tRNA-nucleotidyltransferase	1E-101	41%	Nonessential	0	no E. coli homolog found					
RPA1193	39934268	1303042	1305108	2067	+	-	cytochrome c1 (or is it cytochrome b?)	[C] Energy production and conversion	Metabolism	Electron transport chain	1	CCNA_00506	-	cytochrome b	0E+00	40%	Nonessential	0	no E. coli homolog found					
RPA1196	39934271	1307197	1307835	639	-	pdxH	pyridoxamine 5'-phosphate oxidase	[H] Coenzyme transport and metabolism	Metabolism	Vitamin B6 biosynthesis	1	CCNA_00966	-	pyridoxamine 5'-phosphate oxidase	7E-95	62%	essential	1	b1638	pdxH	pyridoxine 5'-phosphate oxidase	5E-53	36%	Nonessential
RPA1201	39934276	1311494	1312582	1089	+	aroC	chorismate synthase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_03256	-	chorismate synthase	1E-171	70%	essential	1	b2329	aroC	chorismate synthase	8E-157	64%	Nonessential
RPA1263	39934338	1384843	1385118	276	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	2	CCNA_00948	sciP	CtrA inhibitory protein SciP	3E-49	75%	essential	0	no E. coli homolog found					
RPA1276	39934351	1396520	1397713	1194	-	carA	carbamoyl phosphate synthase small subunit	"[E] Amino acid transport and metabolism, [F] Nucleotide transport and metabolism"	Metabolism	Amino acid metabolism	1	CCNA_02925	-	carbamoyl-phosphate synthase small chain	0E+00	62%	Nonessential	1	b0032	carA	carbamoyl phosphate synthetase small subunit	2E-141	51%	Nonessential
RPA1287	39934362	1404459	1406468	2010	+	dnaG	DNA primase	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	1	CCNA_03144	dnaG	DNA primase	2E-128	31%	essential	1	b3066	dnaG	DNA primase	1E-91	24%	Nonessential
RPA1288	39934363	1406728	1408824	2097	+	rpoD	RNA polymerase sigma factor RpoD	[K] Transcription	Sigma factors	Sigma factors	1	CCNA_03142	rpoD	RNA polymerase sigma factor rpoD	0E+00	63%	essential	0	no E. coli homolog found					
RPA1306	39934381	1425895	1427100	1206	+	mnmA	tRNA-specific 2-thiouridylase MnmA	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA processing	1	CCNA_00941	-	tRN	1E-159	56%	essential	1	b1133	mnmA	"tRNA(Gln,Lys,Glu) U34 2-thiouridylase"	1E-64	33%	Nonessential
RPA1463	39934535	1621994	1623850	1857	+	ilvD2	dihydroxy-acid dehydratase	"[E] Amino acid transport and metabolism, [G] Carbohydrate transport and metabolism"	Metabolism	Amino acid metabolism	4	CCNA_03139	-	dihydroxy-acid dehydratase	0E+00	77%	Nonessential	4	b3771	ilvD	dihydroxyacid dehydratase	0E+00	74%	Nonessential
RPA1505	39934577	1671137	1672120	984	+	-	porphobilinogen deaminase	[H] Coenzyme transport and metabolism	Metabolism	Heme biosynthesis	1	CCNA_00070	-	porphobilinogen deaminase	2E-40	33%	essential	1	b3805	hemC	hydroxymethylbilane synthase	2E-44	31%	essential
RPA1509	39934581	1676073	1677050	978	-	hemE	uroporphyrinogen decarboxylase	[H] Coenzyme transport and metabolism	Metabolism	Heme biosynthesis	1	CCNA_03879	hemE	uroporphyrinogen decarboxylase	1E-104	50%	essential	1	b3997	hemE	uroporphyrinogen decarboxylase	2E-94	46%	Nonessential
RPA1514	39934586	1682058	1682969	912	+	hemF	coproporphyrinogen III oxidase	[H] Coenzyme transport and metabolism	Metabolism	Heme biosynthesis	1	CCNA_00540	-	coproporphyrinogen III oxidase	3E-122	56%	Nonessential	1	b2436	hemF	coproporphyrinogen III oxidase	4E-70	39%	Nonessential
RPA1589	39934659	1768213	1768830	618	-	rpsD	30S ribosomal protein S4	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_02596	-	SSU ribosomal protein S4P	2E-109	67%	essential	1	b3296	rpsD	30S ribosomal subunit protein S4	7E-53	46%	essential
RPA1597	39934667	1775573	1777783	2211	+	purQ	phosphoribosylformylglycinamidine synthase II	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_02586	-	phosphoribosylformylglycinamidine synthase II	0E+00	61%	Nonessential	1	b2557	purL	phosphoribosylformyl-glycineamide synthetase	1E-35	26%	Nonessential
RPA1626	39934696	1806403	1807059	657	+	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_03584	chpT	histidine phosphotransferase ChpT	8E-30	33%	essential	1	b3210	arcB	aerobic respiration control sensor histidine	2E-04	25%	Nonessential
RPA1632	39934702	1813413	1814114	702	-	ctrA	two-component cell cycle transcriptional regulatorCtrA	"[K] Transcription, [T] Signal transduction mechanisms"	"Cell cycle, cell division & cell envelope"	Cell cycle	12	CCNA_03130	ctrA	cell cycle response regulator ctrA	5E-144	82%	essential	14	b4113	basR	DNA-binding response regulator in two-component system	8E-47	36%	Nonessential
RPA1820	39934889	2047166	2047999	834	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA1838	39934907	2066281	2066772	492	-	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	[H] Coenzyme transport and metabolism	Metabolism	Folate biosynthesis	1	CCNA_01620	-	2-amino-4-hydroxy-6	3E-21	24%	essential	1	b0142	folK	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine	2E-31	35%	essential
RPA1839	39934908	2066774	2067139	366	-	folB	dihydroneopterin aldolase	[H] Coenzyme transport and metabolism	Metabolism	Folate biosynthesis	1	CCNA_00421	-	dihydroneopterin aldolase	3E-11	26%	essential	1	b3058	folB	bifunctional dihydroneopterin	3E-18	31%	Nonessential
RPA1840	39934909	2067136	2067993	858	-	folP	dihydropteroate synthase	[H] Coenzyme transport and metabolism	Metabolism	Folate biosynthesis	1	CCNA_03332	-	dihydropteroate synthase	1E-65	44%	essential	1	b3177	folP	"7,8-dihydropteroate synthase"	1E-61	40%	Nonessential
RPA1856	39934925	2085342	2085770	429	-	csdE?	Fe-S metabolism associated SufE (CSD sulfer transfer system)	[R] General function prediction only	Metabolism	Fe-S metabolism	1	CCNA_01114	sufE	cysteine desulfurase subunit SufE	3E-47	50%	essential	2	b2811	csdE	CsdA-binding activator; Fe-S protein	1E-38	38%	Nonessential
RPA1865	39934934	2093990	2094556	567	-	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA1866	39934935	2094553	2095131	579	-	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_02603	-	hypothetical protein	9E-08	21%	Nonessential	0	no E. coli homolog found					
RPA1867	39934936	2095175	2097448	2274	-	pbp1b?	penicillin-binding protein 1B	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	3	CCNA_03386	pbpC	multimodular transpeptidase-transglycosylas	8E-123	31%	Nonessential	1	b0149	mrcB	fused glycosyl transferase and transpeptidase	5E-66	24%	Nonessential
RPA1886	39934955	2119814	2120014	201	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	2	CCNA_03242	-	succinic semialdehyde dehydrogenase	5E-04	24%	Nonessential	0	no E. coli homolog found					
RPA1921	39934990	2154141	2156123	1983	+	cycK	cytochrome c-type biogenesis protein CcmF	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Electron transport chain	1	CCNA_02848	-	heme chaperone-apocytochrome heme-lyase	0E+00	49%	Nonessential	1	b2196	ccmF	"heme lyase, CcmF subunit"	7E-175	46%	Nonessential
RPA1932	39935001	2167673	2169121	1449	+	cusS?	periplasmic sensor signal transduction histidine kinase	[T] Signal transduction mechanisms	Sensing and signalling	Periplasmic proteins	2	CCNA_02842	-	two-component sensor histidine kinase	3E-81	38%	Nonessential	1	b3026	qseC	quorum sensing sensory histidine kinase	5E-16	23%	Nonessential
RPA1981	39935050	2230997	2231695	699	+	cbbI	ribose-5-phosphate isomerase A	[G] Carbohydrate transport and metabolism	Metabolism	Pentose phosphate pathway	1	CCNA_02388	-	ribose 5-phosphate isomerase	2E-52	45%	essential	1	b2914	rpiA	"ribose 5-phosphate isomerase, constitutive"	3E-50	41%	Nonessential
RPA1983	39935052	2232249	2233634	1386	+	gor	glutathione reductase	[C] Energy production and conversion	Metabolism	Redox balance	3	CCNA_02387	-	glutathione reductase	2E-173	55%	Nonessential	4	b3500	gor	glutathione oxidoreductase	2E-98	39%	Nonessential
RPA1986	39935055	2235739	2237493	1755	+	nadE	NAD synthetase	"[H] Coenzyme transport and metabolism, [R] General function prediction only"	Metabolism	NAD/NADP	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA1997	39935066	2246922	2248313	1392	+	cysS	cysteinyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_00492	-	cysteinyl-tRNA synthetase	7E-149	53%	essential	1	b0526	cysS	cysteinyl-tRNA synthetase	3E-111	45%	essential
RPA2006	161610773	2259303	2260001	699	+	psd	phosphatidylserine decarboxylase	[I] Lipid transport and metabolism	Metabolism	Phospholipid metabolism	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA2007	39935076	2260031	2260945	915	+	pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase	[I] Lipid transport and metabolism	Metabolism	Phospholipid metabolism	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA2017	39935086	2272117	2273049	933	-	-	lipid A biosynthesis lauroyl acyltransferase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_02333	-	lipid A biosynthesis lauroyl acyltransferase	2E-42	29%	essential	2	b1054	waaM	lauryl-acyl carrier protein (ACP)-dependent	8E-06	25%	Nonessential
RPA2018	39935087	2273049	2274071	1023	-	-	alcohol dehydrogenase	"[C] Energy production and conversion, [R] General function prediction only"	Metabolism	Central metabolism	11	CCNA_03875	qor	quinone oxidoreductase	2E-46	33%	Nonessential	12	b4051	qorA	"quinone oxidoreductase, NADPH-dependent"	4E-38	29%	Nonessential
RPA2019	39935088	2274168	2275448	1281	-	-	3-oxoacyl-ACP synthase	"[I] Lipid transport and metabolism, [Q] Secondary metabolites biosynthesis, transport and catabolism"	Metabolism	Lipids/LPS/Fatty acid metabolism	2	CCNA_01750	-	3-oxoacyl-(acyl-carrier-protein) synthase II	2E-67	36%	essential	1	b2323	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I	4E-57	34%	essential
RPA2020	39935089	2275459	2276667	1209	-	-	3-oxoacyl-ACP synthase	"[I] Lipid transport and metabolism, [Q] Secondary metabolites biosynthesis, transport and catabolism"	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_01750	-	3-oxoacyl-(acyl-carrier-protein) synthase II	1E-15	27%	essential	0	no E. coli homolog found					
RPA2022	39935091	2277156	2277437	282	-	-	acyl carrier protein	"[I] Lipid transport and metabolism, [Q] Secondary metabolites biosynthesis, transport and catabolism"	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_01749	-	acyl carrier protein	7E-12	23%	essential	1	b1094	acpP	acyl carrier protein (ACP)	5E-12	20%	essential
RPA2029	39935098	2284710	2285441	732	-	serB	phosphoserine phosphatase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_02182	-	phosphoserine phosphatase	2E-89	57%	Nonessential	1	b4388	serB	3-phosphoserine phosphatase	2E-47	37%	Nonessential
RPA2035	39935104	2291138	2292157	1020	+	ilvC	ketol-acid reductoisomerase	"[E] Amino acid transport and metabolism, [H] Coenzyme transport and metabolism"	Metabolism	Amino acid metabolism	1	CCNA_02204	-	ketol-acid reductoisomerase/2-dehydropantoat	0E+00	77%	essential	0	no E. coli homolog found					
RPA2083	39935152	2341869	2343230	1362	-	cobB	"cobyrinic acid a,c-diamide synthase"	[H] Coenzyme transport and metabolism	Metabolism	Vitamin B12 biosynthesis	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA2200	39935269	2475578	2477074	1497	+	guaB	inosine 5'-monophosphate dehydrogenase	"[F] Nucleotide transport and metabolism, [R] General function prediction only"	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01689	-	inosine-5'-monophosphate dehydrogenase	0E+00	67%	High_Fitness_Costs	1	b2508	guaB	IMP dehydrogenase	0E+00	56%	Nonessential
RPA2203	39935272	2480182	2481804	1623	+	guaA	GMP synthase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01692	-	GMP synthase GuaA	0E+00	66%	High_Fitness_Costs	1	b2507	guaA	GMP synthetase (glutamine aminotransferase)	0E+00	53%	Nonessential
RPA2282	39935351	2585324	2585635	312	-	-	hypothetical protein	[R] General function prediction only	Hypothetical proteins	Hypothetical proteins	1	CCNA_02960	-	HTH DNA-binding protein	9E-16	28%	Nonessential	3	b0483	ybaQ	predicted DNA-binding transcriptional regulator	3E-15	21%	Nonessential
RPA2437	39935503	2766728	2767183	456	-	aroQ2	3-dehydroquinate dehydratase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_01959	-	3-dehydroquinate dehydratase	3E-55	53%	essential	0	no E. coli homolog found					
RPA2452	39935518	2784555	2787053	2499	+	-	penicillin-binding protein 1A	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_01951	pbpY	multimodular transpeptidase-transglycosylas	0E+00	42%	Nonessential	1	b3396	mrcA	fused penicillin-binding protein 1a: murein	1E-151	36%	Nonessential
RPA2453	39935519	2787334	2788302	969	+	prfB	peptide chain release factor 2	"[J] Translation, ribosomal structure and biogenesis"	Translation	Translation termination	2	CCNA_01950	-	peptide chain Release factor 2 (RF-2)	1E-153	64%	essential	2	b2891	prfB	peptide chain release factor RF-2	1E-120	52%	Nonessential
RPA2457	39935523	2791680	2795402	3723	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA2460	39935526	2797634	2798890	1257	-	tyrS	tyrosyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_01946	-	tyrosyl-tRNA synthetase	0E+00	59%	essential	1	b1637	tyrS	tyrosyl-tRNA synthetase	4E-101	38%	essential
RPA2462	39935528	2800206	2800853	648	-	-	hypothetical protein	[R] General function prediction only	Hypothetical proteins	Hypothetical proteins	2	CCNA_01943	-	alpha/beta hydrolase family protein	6E-101	60%	Nonessential	1	b2534	yfhR	"S9 peptidase family protein, function unknown"	1E-08	30%	Nonessential
RPA2464	39935530	2802346	2803827	1482	+	sufB	cysteine desulfurase	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Amino acid metabolism	1	CCNA_01940	sufB	ABC transporter-associated protein SufB	0E+00	76%	essential	1	b1683	sufB	component of SufBCD Fe-S cluster assembly	0E+00	59%	Nonessential
RPA2465	39935531	2803960	2804718	759	+	sufC	FeS assembly ATPase SufC	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Fe-S metabolism	30	CCNA_01938	sufC	ATP-dependent transporter SufC	8E-119	63%	essential	57	b1682	sufC	SufBCD Fe-S cluster assembly scaffold protein	2E-107	56%	Nonessential
RPA2466	39935532	2804742	2806055	1314	+	sufD	FeS assembly protein SufD	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Fe-S metabolism	1	CCNA_01937	sufD	FeS assembly protein SufD	7E-63	33%	essential	1	b1681	sufD	component of SufBCD Fe-S cluster assembly	8E-57	30%	Nonessential
RPA2467	39935533	2806052	2807299	1248	+	sufS	cysteine desulfurase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	2	CCNA_01936	-	cysteine desulfurase/selenocysteine lyase	1E-178	58%	essential	3	b1680	sufS	"cysteine desulfurase, stimulated by SufE"	2E-135	47%	Nonessential
RPA2486	39935552	2826143	2828194	2052	-	parE	DNA topoisomerase IV subunit B	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	1	CCNA_02052	-	topoisomerase IV subunit B	0E+00	62%	essential	1	b3030	parE	"DNA topoisomerase IV, subunit B"	4E-160	40%	essential
RPA2491	39935557	2832078	2833073	996	+	argC	N-acetyl-gamma-glutamyl-phosphate reductase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	2	CCNA_01442	-	N-acetyl-gamma-glutamyl-phosphate reductase	3E-121	55%	Nonessential	1	b3958	argC	N-acetyl-gamma-glutamylphosphate reductase	1E-21	25%	Nonessential
RPA2504	39935570	2846167	2847492	1326	+	HDH	homoserine dehydrogenase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_01447	-	homoserine dehydrogenase	1E-95	38%	Nonessential	1	b3940	metL	fused aspartokinase II/homoserine dehydrogenase	3E-17	22%	Nonessential
RPA2513	39935579	2856053	2856619	567	-	efp	elongation factor P	"[J] Translation, ribosomal structure and biogenesis"	Transcription	Transcription	1	CCNA_00758	-	translation elongation factor P EF-P	1E-104	71%	essential	3	b2171	yeiP	elongation factor P-like protein	4E-32	35%	Nonessential
RPA2557	39935623	2904286	2905038	753	+	-	glycosyl transferase family protein	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Carbohydrate metabolism	3	CCNA_00502	-	glycosyl transferase family protein	9E-73	45%	essential	3	b2254	arnC	undecaprenyl phosphate-L-Ara4FN transferase	8E-28	28%	Nonessential
RPA2558	39935624	2905038	2905376	339	+	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						1	b0209	yafD	conserved protein	3E-04	23%	Nonessential
RPA2583	39935649	2937609	2940482	2874	+	valS	valyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	2	CCNA_01381	-	valyl-tRNA synthetase	0E+00	57%	essential	1	b4258	valS	valyl-tRNA synthetase	0E+00	49%	essential
RPA2587	39935653	2942590	2943549	960	+	lipA2	lipoyl synthase	[H] Coenzyme transport and metabolism	Protein folding/modification	Protein lipoylation	1	CCNA_01809	-	lipoic acid synthetase	1E-167	68%	essential	1	b0628	lipA	lipoate synthase	3E-104	46%	Nonessential
RPA2590	39935656	2944754	2945950	1197	-	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	[I] Lipid transport and metabolism	Metabolism	Isoprenoid biosynthesis	1	CCNA_01812	-	2-C-methyl-D-erythritol 4-phosphat	1E-110	47%	essential	1	b2746	ispF	"2C-methyl-D-erythritol 2,4-cyclodiphosphate"	3E-46	20%	essential
RPA2595	39935661	2952314	2953681	1368	+	ntrX	Fis family transcriptional regulator	[T] Signal transduction mechanisms	Transcriptional regulators	Nitrogen regulation	4	CCNA_01817	-	nitrogen assimilation regulatory protein ntrX	0E+00	64%	Nonessential	11	b2220	atoC	fused response regulator of ato operon	7E-96	37%	Nonessential
RPA2597	39935663	2954761	2955009	249	+	hfq	RNA-binding protein Hfq	[R] General function prediction only	Stress response	Stress response	1	CCNA_01819	-	"RNA-binding protein, Hfq family"	1E-49	76%	essential	2	b4172	hfq	"global sRNA chaperone; HF-I, host factor for RNA"	8E-26	43%	Nonessential
RPA2599	161610772	2956591	2959332	2742	+	gyrA	DNA gyrase subunit A	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	2	CCNA_01651	-	DNA gyrase subunit A	0E+00	62%	essential	1	b2231	gyrA	"DNA gyrase (type II topoisomerase), subunit A"	0E+00	50%	essential
RPA2601	39935667	2960110	2960619	510	+	coaD	phosphopantetheine adenylyltransferase	[H] Coenzyme transport and metabolism	Metabolism	Coenzyme A biosynthesis	1	CCNA_01652	-	phosphopantetheine adenylyltransferase	1E-47	43%	essential	1	b3634	coaD	pantetheine-phosphate adenylyltransferase	2E-44	39%	essential
RPA2655	39935721	3018684	3021518	2835	-	-	family 2 glycosyl transferase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Carbohydrate metabolism	0	no C. crescentus homolog found						0	no E. coli homolog found					
